Date,Closing,Opening,High,Low,Volume,Diff %
04.04.2022,3520.41,3521.16,3544.92,3412.01,547680.00,-0.02000
03.04.2022,3521.1,3442.34,3579.82,3414.4,473540.00,2.29000
02.04.2022,3442.34,3456.18,3529.63,3436.79,629290.00,-0.4000
01.04.2022,3456.18,3282.33,3478.74,3215.33,649920.00,05.мар
31.03.2022,3282.35,3385.6,3444.43,3263.36,545440.00,-3.05000
30.03.2022,3385.64,3401.86,3445.98,3333.5,425380.00,-0.48000
29.03.2022,3401.89,3329.67,3481.23,3329.67,570030.00,2.18000
28.03.2022,3329.38,3295.73,3428.41,3275.32,628910.00,0.98000
27.03.2022,3297.04,3145.95,3297.4,3126.46,402020.00,04.авг
26.03.2022,3146.01,3103.43,3150.09,3085.8,244280.00,1.37000
25.03.2022,3103.51,3110.8,3192.73,3081.71,583250.00,-0.18000
24.03.2022,3109.25,3036.18,3126.37,3005.99,699580.00,2.41000
23.03.2022,3036.12,2969.64,3042.28,2925.78,536630.00,2.24000
22.03.2022,2969.64,2891.41,3048.32,2887.69,716470.00,фев.71
21.03.2022,2891.63,2861.66,2960.42,2830.38,546610.00,1.05000
20.03.2022,2861.69,2950.03,2962.19,2819.27,436110.00,-2.99000
19.03.2022,2949.92,2939.76,2984,2895.3,392640.00,0.35000
18.03.2022,2939.76,2812.29,2983.11,2768.65,159B,4.53000
17.03.2022,2812.29,2773.8,2832.61,2747.06,106B,1.38000
16.03.2022,2773.94,2617.43,2787.12,2603.8,179B,5.98000
15.03.2022,2617.43,2589.54,2667.61,2510.75,119B,1.09000
14.03.2022,2589.3,2516.75,2608.68,2500.12,991820000.00,2.88000
13.03.2022,2516.75,2569.8,2600.65,2494.59,811550000.00,-2.06000
12.03.2022,2569.8,2556.96,2612.33,2555.85,567250000.00,0.5000
11.03.2022,2556.96,2606.5,2670.05,2525.2,128B,-1.9000
10.03.2022,2606.5,2726.94,2731.37,2559.9,146B,-4.42000
09.03.2022,2726.94,2577.21,2772.09,2569.13,152B,5.81000
08.03.2022,2577.21,2492.53,2623.99,2483.29,144B,03.апр
07.03.2022,2492.53,2549.4,2645.41,2447.74,158B,-2.23000
06.03.2022,2549.4,2665.42,2673.19,2542.19,881090000.00,-4.35000
05.03.2022,2665.42,2622.15,2684.5,2592.07,709870000.00,1.65000
04.03.2022,2622.15,2834.78,2835.94,2575.63,150B,-7.5000
03.03.2022,2834.91,2947.03,2967.9,2789.87,521360.00,-3.81000
02.03.2022,2947.14,2975.8,3041.84,2914.7,740370.00,-0.96000
01.03.2022,2975.81,2922.44,3036.59,2858.54,828620.00,1.82000
28.02.2022,2922.5,2616.34,2949.44,2574.12,899190.00,11.июл
27.02.2022,2616.34,2779.55,2834.61,2562.94,804740.00,-5.78000
26.02.2022,2776.96,2767.58,2856.01,2734.56,520440.00,0.34000
25.02.2022,2767.53,2596.52,2830.31,2573.39,828870.00,6.59000
24.02.2022,2596.52,2578.54,2732.02,2303.07,1850000.00,0.71000
23.02.2022,2578.15,2637.38,2749.8,2578.15,636500.00,-2.2000
22.02.2022,2636.13,2569.19,2663.01,2501.4,841130.00,2.58000
21.02.2022,2569.87,2619.32,2755.58,2560.24,996710.00,-1.89000
